model,accuracy,precision,recall,f1_score,roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,cv_roc_auc_std
Random Forest,0.92,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9166666666666667,0.89,0.048989794855663536,0.8682284382284383,0.9436363636363637,0.9031225296442689,0.9396363636363636,0.03337050880756399
Logistic Regression,0.88,0.9166666666666666,0.8461538461538461,0.88,0.9230769230769231,0.85,0.031622776601683784,0.8573115773115774,0.8690909090909091,0.8607323645081081,0.9295353535353537,0.04110788958166764
